country,institution,website,lat,lon
Korea,KAIST THEN Lab, https://sites.google.com/view/thenlab/2024-glocal-project-map,36.373279,127.363101
Russia,State Archive of the Republic of Buryatia,http://www.gbu-garb.ru/?ysclid=m7bf56n16j236230736,51.83190876221018,107.58843754182837
Canada,"Cheng Yu Tung East Asian Library, University of Toronto",https://onesearch.library.utoronto.ca/external-researchers,43.664450715883085,-79.39935107388703
Canada,Library and Archives Canada,https://library-archives.canada.ca/eng/services/public/visit/Pages/ottawa.aspx#a5,45.421590049067255,-75.70737264631663
Canada,Canadian War Museum,https://www.warmuseum.ca/research-and-collections/military-history-research-centre/visit-the-centre,45.41723872898539,-75.71698471798793
Canada,"Knox College Library, University of Toronto",https://knox.utoronto.ca/caven-library/,43.66154261792531,-79.39654182971016
Japan,Hokkaido University Library,https://www.lib.hokudai.ac.jp/services/visitors/,43.072024877427516,141.34479045481274
Japan,Diplomatic Archives of the Ministry of Foreign Affairs of Japan,https://www.mofa.go.jp/mofaj/annai/honsho/shiryo/,35.661013759309014,139.7395190681261
Japan,"Slavic-Eurasian Research Center Library, Hokkaido University",https://src-h.slav.hokudai.ac.jp/,43.07227710535337,141.34414369763363
Japan,Obihiro City Library,https://www.lib-obihiro.jp/,42.91679883229815,143.20213385331803
Japan,Hakodate City Central Library,https://hakodate-lib.jp/,41.79845039128557,140.75382882896994
Japan,Hokkaido Prefectural Library,https://www.library.pref.hokkaido.jp/,43.06967683065779,141.50074759849684
Japan,National Diet Library,https://dl.ndl.go.jp/,35.678632187937886,139.74453081644202
United Kingdom,Imperial War Museum London,https://www.iwm.org.uk/visits/iwm-london,51.49589668697826,-0.10858330051708907
United Kingdom,The National Library of Scotland,https://www.nls.uk/visit/,55.94884158222405,-3.191859753440988
United Kingdom,The National Archives,https://www.nationalarchives.gov.uk/about/visit-us/,51.48119654178672,-0.2793397710570242
United Kingdom,SOAS Library,https://www.soas.ac.uk/research/library,51.52221713032672,-0.12906117352819688
United Kingdom,The British Library,https://www.bl.uk/visit,51.53002962801524,-0.12766258223785307
United Kingdom,The University of Oxford Library,https://www.bodleian.ox.ac.uk/ask/how-to-guides,51.754243109583825,-1.2539608315354773
United Kingdom,The University of Birmingham Library,https://www.birmingham.ac.uk/libraries/visitors/fesupport/visits,52.45157213224711,-1.9312467860784042
Japan,Kyoto University Library,https://www.kulib.kyoto-u.ac.jp/,35.026390244324084,135.77972660858475
Japan,Hitotsubashi University Library,https://www.lib.hit-u.ac.jp/en/top-2/,35.694726938211346,139.44398982579818
Japan,Tokyo University Library,https://www.lib.u-tokyo.ac.jp/en,35.71197817796418,139.7607333969633
United States,"East Asian Library, USC",https://libraries.usc.edu/locations/east-asian-library,34.02030396880423,-118.28368297600463
United States,"Bancroft Library, UC Berkeley",https://www.lib.berkeley.edu/visit/bancroft,37.872414670677266,-122.25870394713357
United States,"McHenry Library, UC Santa Cruz",https://guides.library.ucsc.edu/mchenry-library/about,36.99571864880822,-122.05898246402498
United States,"Charles E. Young Research Library, UCLA",https://www.library.ucla.edu/visit/locations/research-library/,34.07509261832848,-118.44139714715645
Taiwan,"Archives of the Institute of Modern History, Academia Sinica",https://archives.sinica.edu.tw/news_about/,25.041035231766195,121.6113712078227
Taiwan,"Academia Historica, Taipei",https://www.drnh.gov.tw/p/412-1003-150.php,25.04019820730488,121.51084418313599
China,Shanghai Library,https://www.library.sh.cn/guide/xuzhi,31.207495117671833,121.44484862257222
China,Shanghai Archives,https://www.archives.sh.cn/lyzn/202304/t20230424_67906.html,31.198731402919105,121.55668823502523
United States,"US National Archives, College Park",https://www.archives.gov/college-park/researcher-info,39.000584801975066,-76.95970517167044
United States,"United Nations Archives, New York",https://archives.un.org/,40.749417477925306,-73.96787045866667
Russia,The Russian State Library,https://www.rsl.ru/,55.75187868695029,37.608911601547796
Russia,The Russian National Library,https://nlr.ru/,59.933316968869136,30.335188818951146
Kazakhstan,Central State Archive of the Republic of Kazakhstan,http://cga.kz/,43.24279192614796,76.94553988191808
Kazakhstan,National Library of the Republic of Kazakhstan,https://www.nlrk.kz/,43.241594847034946,76.94330507027196
Kazakhstan,"Central State Archive of Cinematic, Photographic Documents, and Sound Recordings of the Republic of Kazakhstan.",http://kfdz.kz/,43.24274212072432,76.94560619716339
Russia,The State Public Historical Library of Russia,https://www.shpl.ru/,55.756572493653415,37.63952700979634
United States,Smith College,https://libraries.smith.edu,42.31638643772475,-72.64018075675465
United States,Rockefeller Archive Center,https://rockarch.org,41.09196608525266,-73.83524896070548
United States,"W.E.B. Du Bois Library, UMass Amherst",https://www.library.umass.edu,42.38997058728992,-72.52825038767728
United States,Johns Hopkins Unviersity,https://www.library.jhu.edu,39.32999255900329,-76.62059280474794
United States,Library of Congress,https://www.loc.gov,38.88882593813298,-77.00469754524663
United States,Hoover Institution,https://www.hoover.org/library-archives,37.427732168821045,-122.1662927130553
United States,LA Public Library,https://lapl.org,34.01424695743967,-118.30844808268981
United States,Jones Library,https://www.joneslibrary.org,42.37618115258147,-72.52089075091278
United States,New York Public Library,https://www.nypl.org,40.753182271391736,-73.98216757229535
United States,"Frost Library, Amherst College",https://www.amherst.edu/library,42.371837897517366,-72.51703091825688
United States,"Sterling Memorial Library, Yale University",https://web.library.yale.edu/building/sterling-memorial-library,41.311036397217386,-72.92864656062532
United States,"Sterling Memorial Library, Yale University",41.3110364,-72.92864656,
